CD3D	CD3D	Gene Expression
CD3E	CD3E	Gene Expression
CD2	CD2	Gene Expression
TRAC	TRAC	Gene Expression
LCK	LCK	Gene Expression
CD7	CD7	Gene Expression
CD14	CD14	Gene Expression
LYZ	LYZ	Gene Expression
CSF1R	CSF1R	Gene Expression
FCGR3A	FCGR3A	Gene Expression
AIF1	AIF1	Gene Expression
ITGAM	ITGAM	Gene Expression
EPCAM	EPCAM	Gene Expression
KRT8	KRT8	Gene Expression
KRT18	KRT18	Gene Expression
KRT19	KRT19	Gene Expression
MUC1	MUC1	Gene Expression
CDH1	CDH1	Gene Expression
COL1A1	COL1A1	Gene Expression
COL3A1	COL3A1	Gene Expression
COL1A2	COL1A2	Gene Expression
DCN	DCN	Gene Expression
LUM	LUM	Gene Expression
ACTA2	ACTA2	Gene Expression
ACTB	ACTB	Gene Expression
GAPDH	GAPDH	Gene Expression
RPLP0	RPLP0	Gene Expression
RPL13A	RPL13A	Gene Expression
TUBB	TUBB	Gene Expression
UBC	UBC	Gene Expression
B2M	B2M	Gene Expression
HSP90AB1	HSP90AB1	Gene Expression
SDHA	SDHA	Gene Expression
TBP	TBP	Gene Expression
ISG15	ISG15	Gene Expression
MX1	MX1	Gene Expression
MX2	MX2	Gene Expression
OAS1	OAS1	Gene Expression
OAS2	OAS2	Gene Expression
OAS3	OAS3	Gene Expression
IFIT1	IFIT1	Gene Expression
IFIT2	IFIT2	Gene Expression
IFIT3	IFIT3	Gene Expression
IFIH1	IFIH1	Gene Expression
IFI6	IFI6	Gene Expression
IFI44	IFI44	Gene Expression
IFI44L	IFI44L	Gene Expression
BST2	BST2	Gene Expression
RSAD2	RSAD2	Gene Expression
HERC5	HERC5	Gene Expression
USP18	USP18	Gene Expression
STAT1	STAT1	Gene Expression
STAT2	STAT2	Gene Expression
IRF7	IRF7	Gene Expression
DDX58	DDX58	Gene Expression
TRIM25	TRIM25	Gene Expression
ISG20	ISG20	Gene Expression
CMPK2	CMPK2	Gene Expression
NMI	NMI	Gene Expression
LY6E	LY6E	Gene Expression
PARP9	PARP9	Gene Expression
DTX3L	DTX3L	Gene Expression
ADAR	ADAR	Gene Expression
