p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
1.00946704937074e-71	3.73635116613124	0.994	0.185	1.00946704937074e-68	0	CD3E
1.72063884189779e-70	3.68180895836361	0.988	0.203	1.72063884189779e-67	0	CD2
8.73128131489093e-70	3.63731897808026	0.988	0.216	8.73128131489093e-67	0	CD7
1.15360782811984e-69	3.52836345863371	0.988	0.228	1.15360782811984e-66	0	CD3D
9.06468809240023e-68	3.5102774020148	0.982	0.263	9.06468809240022e-65	0	TRAC
1.00385659282991e-68	3.39045664050114	0.991	0.154	1.00385659282991e-65	1	ITGAM
6.68096885585688e-65	3.10724300279639	0.991	0.218	6.68096885585688e-62	1	AIF1
4.76358335468944e-64	3.08162880796683	0.983	0.214	4.76358335468944e-61	1	FCGR3A
2.07933357734185e-62	3.00117752154083	0.983	0.232	2.07933357734185e-59	1	LYZ
4.56127747337899e-62	2.94716976480356	0.983	0.225	4.56127747337899e-59	1	CD14
5.78185706478306e-50	3.37890264767839	1	0.221	5.78185706478306e-47	2	KRT18
1.17992483118192e-48	3.1942825397269	1	0.23	1.17992483118192e-45	2	CDH1
1.50638631197327e-48	3.25343806543238	1	0.236	1.50638631197327e-45	2	EPCAM
4.63586423408796e-48	3.19010464506234	1	0.248	4.63586423408796e-45	2	MUC1
4.72346164166286e-47	3.15443050098005	1	0.254	4.72346164166286e-44	2	KRT8
1.04606456985625e-47	3.57652171403103	1	0.184	1.04606456985625e-44	3	LUM
3.7268312922913e-45	3.5398408204934	1	0.21	3.7268312922913e-42	3	COL3A1
2.1786826503327e-44	3.27723333135771	1	0.221	2.1786826503327e-41	3	COL1A2
1.88625888116233e-43	3.24132575414614	1	0.236	1.88625888116233e-40	3	COL1A1
5.11627150354881e-43	3.47823649479457	0.981	0.218	5.11627150354881e-40	3	ACTA2
