"","orig.ident","nCount_RNA","nFeature_RNA","RNA_snn_res.0.5","seurat_clusters"
"Con1_001","Con1",244,105,"0","0"
"Con1_002","Con1",203,89,"2","2"
"Con1_003","Con1",214,97,"2","2"
"Con1_004","Con1",227,108,"0","0"
"Con1_005","Con1",237,107,"2","2"
"Con1_006","Con1",264,120,"0","0"
"Con1_007","Con1",289,123,"0","0"
"Con1_008","Con1",309,111,"3","3"
"Con1_009","Con1",247,113,"0","0"
"Con1_010","Con1",303,121,"3","3"
"Con1_011","Con1",297,103,"3","3"
"Con1_012","Con1",294,115,"0","0"
"Con1_013","Con1",241,107,"0","0"
"Con1_014","Con1",276,117,"0","0"
"Con1_015","Con1",381,125,"1","1"
"Con1_016","Con1",247,95,"0","0"
"Con1_017","Con1",337,126,"1","1"
"Con1_018","Con1",330,109,"1","1"
"Con1_019","Con1",283,107,"3","3"
"Con1_020","Con1",256,117,"0","0"
"Con1_021","Con1",240,99,"0","0"
"Con1_022","Con1",239,98,"0","0"
"Con1_023","Con1",378,118,"1","1"
"Con1_024","Con1",345,108,"1","1"
"Con1_025","Con1",268,121,"0","0"
"Con1_026","Con1",335,113,"1","1"
"Con1_027","Con1",236,95,"0","0"
"Con1_028","Con1",243,111,"2","2"
"Con1_029","Con1",361,122,"1","1"
"Con1_030","Con1",208,97,"0","0"
"Con1_031","Con1",240,99,"0","0"
"Con1_032","Con1",294,114,"3","3"
"Con1_033","Con1",284,121,"3","3"
"Con1_034","Con1",235,107,"0","0"
"Con1_035","Con1",262,109,"0","0"
"Con1_036","Con1",355,131,"1","1"
"Con1_037","Con1",264,110,"0","0"
"Con1_038","Con1",255,112,"0","0"
"Con1_039","Con1",272,120,"0","0"
"Con1_040","Con1",258,115,"0","0"
"Con1_041","Con1",273,108,"0","0"
"Con1_042","Con1",387,125,"1","1"
"Con1_043","Con1",260,110,"2","2"
"Con1_044","Con1",385,119,"1","1"
"Con1_045","Con1",310,102,"3","3"
"Con1_046","Con1",236,103,"0","0"
"Con1_047","Con1",245,100,"0","0"
"Con1_048","Con1",273,111,"0","0"
"Con1_049","Con1",216,97,"0","0"
"Con1_050","Con1",340,125,"1","1"
"Con1_051","Con1",300,111,"3","3"
"Con1_052","Con1",232,97,"2","2"
"Con1_053","Con1",325,112,"3","3"
"Con1_054","Con1",384,129,"1","1"
"Con1_055","Con1",214,108,"2","2"
